WR,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fum,Fantasy Points (Half),Fantasy Points (PPR),Fantasy Points (STD),Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Puka Nacua,LAR,11.0,165.72,118.98,1550.76,8.41,12.57,88.18,1.11,0.74,279.02,338.51,219.53,4.85,1.9,0.2,24.64
Ja'Marr Chase,CIN,6.0,175.55,119.21,1477.85,10.67,3.08,16.51,0.07,0.7,272.08,331.69,212.48,4.36,1.63,0.03,21.83
Jaxon Smith-Njigba,SEA,11.0,162.7,106.05,1533.27,9.22,5.33,28.95,0.1,0.73,263.71,316.73,210.68,4.59,1.76,0.05,24.47
Amon-Ra St. Brown,DET,6.0,156.56,113.01,1335.21,9.75,2.99,13.09,0.05,0.47,249.2,305.7,192.69,3.85,1.37,0.01,19.91
CeeDee Lamb,DAL,14.0,153.63,96.61,1296.19,6.94,2.27,16.76,0.09,0.39,221.0,269.31,172.7,3.72,1.31,0.04,19.18
Drake London,ATL,11.0,149.04,94.91,1252.15,8.34,0.07,0.11,0.0,0.65,221.42,268.88,173.97,3.51,1.2,0.0,18.47
Justin Jefferson,MIN,6.0,154.78,97.11,1288.19,6.42,1.45,6.96,0.05,0.29,216.31,264.87,167.75,3.66,1.28,0.01,18.86
Rashee Rice,KC,5.0,126.92,91.4,1023.48,8.41,6.66,30.55,0.65,0.43,204.6,250.3,158.9,2.77,0.87,0.04,14.62
A.J. Brown,NE,11.0,128.75,85.81,1189.9,7.54,0.2,1.02,0.01,0.28,206.74,249.64,163.83,3.28,1.1,0.0,18.76
George Pickens,DAL,14.0,128.95,80.27,1185.91,7.63,0.36,0.72,0.0,0.32,203.94,244.07,163.8,3.27,1.09,0.0,18.63
Nico Collins,HOU,8.0,130.69,79.96,1188.04,6.85,1.68,8.56,0.26,0.55,201.2,241.18,161.22,3.3,1.11,0.01,18.53
Chris Olave,NO,8.0,137.32,87.5,1102.74,7.15,0.36,0.43,0.0,0.28,196.41,240.16,152.66,2.96,0.95,0.0,15.69
Garrett Wilson,NYJ,13.0,138.15,91.9,1050.87,6.21,1.2,3.95,0.02,0.77,187.27,233.22,141.32,2.78,0.87,0.0,14.27
Zay Flowers,BAL,13.0,116.43,79.95,1130.9,5.61,9.33,56.29,0.43,1.05,192.83,232.81,152.86,3.27,1.09,0.11,18.38
DeVonta Smith,PHI,10.0,126.17,84.94,1105.51,6.09,0.49,1.46,0.01,0.26,189.25,231.72,146.78,2.97,0.96,0.0,16.81
Tee Higgins,CIN,6.0,116.93,70.9,968.34,9.21,0.23,0.72,0.0,0.23,187.16,222.61,151.71,2.46,0.74,0.0,14.12
Tetairoa McMillan,CAR,5.0,127.94,74.99,1072.1,6.62,0.23,1.1,0.0,0.72,183.1,220.59,145.6,2.85,0.9,0.0,15.78
Malik Nabers,NYG,8.0,127.05,76.47,982.91,6.64,2.25,7.06,0.04,0.27,176.77,215.01,138.54,2.53,0.77,0.0,13.55
Davante Adams,LAR,11.0,118.17,66.06,876.32,9.9,0.0,0.22,0.0,0.19,179.7,212.73,146.67,2.11,0.6,0.0,11.62
Ladd McConkey,LAC,7.0,116.13,76.24,990.64,6.24,0.63,2.44,0.02,0.26,174.47,212.59,136.35,2.55,0.78,0.0,14.78
Terry McLaurin,WAS,7.0,113.77,70.82,975.25,7.17,0.36,1.12,0.0,0.26,175.55,210.96,140.14,2.48,0.75,0.0,14.6
Jaylen Waddle,DEN,10.0,115.45,75.11,973.16,5.83,1.98,13.7,0.05,0.27,170.98,208.54,133.43,2.52,0.77,0.03,14.39
Jameson Williams,DET,6.0,100.07,62.23,1018.88,6.14,6.42,39.35,0.46,0.19,176.16,207.27,145.04,2.79,0.88,0.08,17.01
Emeka Egbuka,TB,10.0,127.45,68.11,974.78,6.5,1.2,5.44,0.03,0.21,170.84,204.89,136.78,2.5,0.76,0.01,13.3
Luther Burden III,CHI,10.0,107.86,71.33,933.57,5.07,8.32,47.0,0.23,0.32,164.88,200.55,129.22,2.5,0.76,0.09,14.07
Mike Evans,SF,8.0,111.3,64.74,893.08,7.13,0.0,0.0,0.0,0.25,163.96,196.33,131.59,2.17,0.63,0.0,12.7
Christian Watson,GB,11.0,92.7,57.47,923.87,7.46,2.46,12.64,0.06,0.33,166.85,195.58,138.11,2.33,0.69,0.02,15.24
Rome Odunze,CHI,10.0,112.96,59.89,900.8,7.33,0.41,3.38,0.0,0.29,163.76,193.71,133.82,2.21,0.64,0.01,12.75
DJ Moore,BUF,7.0,101.0,65.56,852.23,6.1,7.35,41.01,0.39,0.52,160.0,192.78,127.22,2.17,0.63,0.07,12.61
Courtland Sutton,DEN,10.0,112.83,65.52,867.91,6.78,0.0,0.0,0.0,0.26,159.71,192.47,126.95,2.08,0.59,0.0,11.91
DK Metcalf,PIT,9.0,106.15,63.0,896.69,6.11,1.31,6.48,0.35,0.2,160.18,191.68,128.68,2.21,0.64,0.01,13.28
Alec Pierce,IND,13.0,102.71,57.89,951.21,6.42,0.2,0.7,0.0,0.23,162.2,191.14,133.25,2.39,0.71,0.0,15.01
Stefon Diggs,FA,,0.0,71.4,824.5,5.1,0.0,0.0,0.0,,148.75,184.45,113.05,1.92,0.53,0.0,0.0
Parker Washington,JAC,7.0,103.86,64.22,853.81,5.34,4.59,15.67,0.08,0.28,151.02,183.13,118.91,2.08,0.59,0.0,12.38
Marvin Harrison Jr.,ARI,14.0,114.37,61.51,868.15,5.86,0.14,0.43,0.0,0.28,152.21,182.97,121.46,2.08,0.59,0.0,11.77
Chris Godwin Jr.,TB,10.0,99.82,69.84,805.38,5.41,0.44,3.52,0.0,0.25,147.77,182.69,112.85,1.86,0.51,0.01,11.51
Carnell Tate,TEN,9.0,109.98,65.47,876.72,5.14,0.43,2.73,0.0,0.79,149.94,182.67,117.2,2.12,0.61,0.01,12.4
Michael Pittman Jr.,PIT,9.0,109.72,74.53,771.56,4.99,0.07,0.32,0.0,0.26,143.87,181.14,106.61,1.72,0.46,0.0,9.7
Brian Thomas Jr.,JAC,7.0,103.1,57.91,858.51,5.37,3.05,18.31,0.31,0.18,150.36,179.31,121.4,2.11,0.6,0.04,12.57
Jakobi Meyers,JAC,7.0,103.06,68.75,786.09,4.95,4.52,19.31,0.09,0.69,143.78,178.15,109.4,1.85,0.51,0.02,10.7
Michael Wilson,ARI,14.0,110.39,66.04,831.48,4.89,0.06,0.8,0.0,0.27,145.05,178.07,112.03,1.95,0.54,0.0,11.19
Josh Downs,IND,13.0,109.52,73.29,760.27,4.3,1.86,5.05,0.03,0.48,138.2,174.84,101.55,1.7,0.45,0.0,9.43
Wan'Dale Robinson,TEN,9.0,112.62,74.3,762.62,3.38,2.02,12.18,0.08,0.27,134.85,172.0,97.7,1.73,0.47,0.02,9.2
Jayden Reed,GB,11.0,82.47,59.56,728.06,4.79,10.93,77.5,0.34,0.41,140.3,170.08,110.52,1.85,0.51,0.18,11.13
Jordyn Tyson,NO,8.0,100.01,62.75,818.03,4.34,0.43,3.74,0.0,0.71,138.17,169.55,106.8,1.91,0.53,0.01,11.82
Jordan Addison,MIN,6.0,92.81,55.88,755.35,4.97,3.99,33.56,0.32,0.2,138.17,166.11,110.23,1.79,0.48,0.09,10.87
Quentin Johnston,LAC,7.0,90.1,52.19,721.7,6.61,1.68,8.02,0.05,0.49,138.05,164.14,111.95,1.57,0.41,0.01,10.25
Deebo Samuel,FA,,0.0,56.1,651.1,4.25,0.0,102.0,1.19,,136.0,164.05,107.95,1.65,0.44,0.0,0.0
Khalil Shakir,BUF,7.0,88.51,68.79,727.97,3.62,1.29,7.34,0.04,0.59,128.71,163.1,94.31,1.59,0.42,0.01,10.56
Xavier Worthy,KC,5.0,90.42,54.2,701.18,3.97,13.99,86.77,0.69,0.22,133.41,160.51,106.31,1.78,0.48,0.18,9.69
Romeo Doubs,NE,11.0,82.72,55.75,722.36,5.25,0.0,0.0,0.0,0.24,131.13,159.01,103.26,1.54,0.4,0.0,10.96
Ricky Pearsall,SF,8.0,89.09,56.21,790.98,3.7,2.25,12.74,0.06,0.19,130.66,158.76,102.55,1.84,0.5,0.02,12.14
Makai Lemon,PHI,10.0,96.79,55.5,721.38,4.33,1.89,7.36,0.04,0.65,125.54,153.29,97.79,1.57,0.41,0.01,9.61
Matthew Golden,GB,11.0,77.67,50.95,662.22,3.79,6.96,33.56,0.15,0.31,118.07,143.55,92.6,1.45,0.37,0.05,9.87
Jayden Higgins,HOU,8.0,85.16,50.88,639.02,4.7,0.36,1.71,0.01,0.23,117.31,142.75,91.87,1.25,0.3,0.0,8.57
KC Concepcion,CLE,11.0,88.08,53.82,684.5,3.11,3.8,24.84,0.13,0.78,115.72,142.63,88.81,1.5,0.38,0.05,9.48
Jalen Coker,CAR,5.0,82.37,53.56,643.61,3.92,0.09,0.54,0.0,0.54,113.64,140.41,86.86,1.27,0.31,0.0,8.95
Rashid Shaheed,SEA,11.0,68.9,42.81,605.78,3.35,10.15,67.27,0.18,0.52,108.85,130.25,87.44,1.37,0.34,0.15,9.23
Tre Tucker,LV,13.0,76.71,45.92,594.24,3.3,9.3,44.29,0.14,0.16,107.13,130.09,84.17,1.25,0.3,0.06,8.2
Jerry Jeudy,CLE,11.0,92.55,48.65,640.91,2.66,0.37,1.79,0.0,0.42,103.71,128.04,79.39,1.26,0.31,0.0,7.93
Jauan Jennings,MIN,6.0,77.04,45.96,539.86,4.18,0.0,0.33,0.0,0.49,101.1,124.08,78.12,0.92,0.2,0.0,6.76
Jalen McMillan,TB,10.0,63.4,41.48,551.2,3.8,2.97,15.06,0.07,0.19,100.21,120.95,79.47,1.0,0.23,0.02,8.34
Calvin Ridley,TEN,9.0,72.19,40.24,601.38,2.91,2.04,10.24,0.17,0.14,99.48,119.6,79.36,1.15,0.27,0.02,8.81
Omar Cooper Jr.,NYJ,13.0,74.85,43.87,537.47,3.19,1.52,9.3,0.04,0.66,94.67,116.61,72.74,0.94,0.21,0.02,6.91
Jalen Nailor,LV,13.0,70.39,41.06,534.1,3.37,1.37,5.88,0.03,0.15,94.63,115.16,74.1,0.91,0.2,0.01,7.24
Malik Washington,MIA,6.0,64.78,46.34,440.87,2.59,9.07,53.63,0.52,0.59,90.1,113.27,66.93,0.77,0.16,0.1,5.35
Denzel Boston,CLE,11.0,71.57,42.68,547.69,2.62,0.47,2.87,0.0,0.46,91.2,112.54,69.86,0.95,0.21,0.01,7.48
Keenan Allen,LAC,7.0,39.0,44.6,485.35,3.08,0.0,0.0,0.0,,89.31,111.62,67.02,0.74,0.16,0.0,8.92
Antonio Williams,WAS,7.0,65.22,40.0,506.41,2.93,1.34,7.13,0.03,0.67,87.77,107.77,67.77,0.83,0.18,0.01,7.0
Ryan Flournoy,DAL,14.0,58.87,39.82,460.88,3.47,1.52,9.62,0.02,0.22,87.46,107.37,67.55,0.7,0.14,0.02,6.42
Adonai Mitchell,NYJ,13.0,65.15,38.2,510.43,2.98,1.61,7.39,0.01,0.33,88.16,107.26,69.06,0.84,0.18,0.01,7.12
Cooper Kupp,SEA,11.0,63.82,39.64,500.2,2.79,0.36,2.07,0.0,0.51,85.77,105.59,65.95,0.8,0.17,0.0,6.98
Rashod Bateman,BAL,13.0,52.64,33.23,471.87,4.21,0.09,0.29,0.0,0.13,88.83,105.45,72.22,0.7,0.15,0.0,7.29
Germie Bernard,PIT,9.0,63.13,41.05,487.97,2.63,1.12,4.5,0.02,0.43,84.81,105.34,64.29,0.77,0.16,0.0,6.72
Tyreek Hill,FA,,0.0,36.0,440.0,2.9,0.0,14.0,0.1,,81.4,99.4,63.4,0.65,0.13,0.0,0.0
Tank Dell,HOU,8.0,63.73,34.21,434.78,2.47,4.47,19.17,0.03,0.2,77.1,94.2,60.0,0.65,0.13,0.02,5.29
Tre' Harris,LAC,7.0,58.44,35.99,437.34,2.25,0.17,1.14,0.0,0.22,74.9,92.9,56.91,0.61,0.12,0.0,5.85
Isaac TeSlaa,DET,6.0,46.49,28.56,394.33,4.1,0.16,0.94,0.0,0.1,78.21,92.49,63.93,0.49,0.09,0.0,5.86
Tyquan Thornton,KC,5.0,50.98,27.21,453.26,3.29,0.0,0.56,0.0,0.09,78.55,92.15,64.94,0.65,0.13,0.0,6.96
Kayshon Boutte,NE,11.0,44.89,28.04,423.57,3.56,0.0,-0.26,0.0,0.07,77.57,91.59,63.55,0.56,0.11,0.0,6.76
Brandon Aiyuk,SF,8.0,49.33,32.92,432.2,2.47,0.23,3.46,0.0,0.0,74.85,91.31,58.39,0.6,0.12,0.01,6.57
Darius Slayton,NYG,8.0,54.81,33.01,464.23,2.0,0.72,3.54,0.01,0.48,74.38,90.89,57.88,0.69,0.14,0.01,6.89
Travis Hunter,JAC,7.0,55.03,34.47,395.37,2.46,1.08,4.56,0.02,0.23,71.65,88.88,54.41,0.5,0.09,0.0,5.08
Andrei Iosivas,CIN,6.0,52.4,31.79,390.92,2.77,1.99,7.79,0.03,0.13,72.31,88.2,56.41,0.5,0.09,0.01,5.21
Troy Franklin,DEN,10.0,50.31,32.1,366.8,2.78,1.43,7.44,0.04,0.44,69.51,85.56,53.46,0.43,0.08,0.01,4.79
Darnell Mooney,NYG,8.0,60.63,31.64,409.6,2.09,0.7,2.94,0.02,0.13,69.47,85.29,53.65,0.53,0.1,0.0,4.93
Jack Bech,LV,13.0,48.14,34.44,398.13,1.75,0.08,0.76,0.0,0.23,67.15,84.37,49.93,0.5,0.09,0.0,5.8
Devaughn Vele,NO,8.0,50.22,31.72,377.1,2.29,0.07,0.27,0.0,0.17,67.0,82.86,51.14,0.44,0.08,0.0,5.06
DeAndre Hopkins,FA,,0.0,28.9,382.5,2.55,0.0,0.0,0.0,,68.0,82.45,53.55,0.45,0.08,0.0,0.0
Jaylin Noel,HOU,8.0,38.74,31.29,354.72,2.21,2.75,16.92,0.08,0.18,66.19,81.83,50.54,0.43,0.08,0.03,5.56
Curtis Samuel,FA,,0.0,30.6,324.7,2.21,0.0,34.0,0.34,,66.47,81.77,51.17,0.39,0.07,0.0,0.0
Pat Bryant,DEN,10.0,51.34,30.93,370.59,1.99,0.15,0.9,0.0,0.15,64.25,79.72,48.79,0.43,0.08,0.0,4.79
Christian Kirk,SF,8.0,50.13,29.96,351.02,1.99,0.76,3.53,0.01,0.09,62.25,77.23,47.27,0.38,0.07,0.0,4.39
Marquise Brown,PHI,10.0,55.6,27.5,336.93,2.44,0.0,0.0,0.0,0.0,62.08,75.83,48.33,0.34,0.06,0.0,3.52
Caleb Douglas,MIA,6.0,42.35,28.39,369.73,1.74,0.41,3.56,0.0,0.38,61.2,75.4,47.01,0.43,0.08,0.01,5.61
Dontayvion Wicks,PHI,10.0,45.75,29.11,333.73,2.15,0.23,1.06,0.0,0.1,60.73,75.29,46.18,0.34,0.06,0.0,4.36
Chris Bell,MIA,6.0,45.52,27.77,360.67,1.82,0.08,0.87,0.0,0.23,60.5,74.38,46.61,0.4,0.07,0.0,5.08
KaVontae Turpin,DAL,14.0,30.12,21.91,292.15,1.81,15.72,89.14,0.27,0.32,60.92,71.88,49.97,0.45,0.08,0.16,4.74
Marvin Mims Jr.,DEN,10.0,37.24,27.37,284.86,1.4,7.89,51.63,0.47,0.23,58.09,71.78,44.41,0.34,0.06,0.11,3.89
Olamide Zaccheaus,ATL,11.0,47.95,29.96,309.85,1.71,1.03,6.06,0.02,0.13,56.69,71.67,41.71,0.29,0.05,0.01,3.53
Sterling Shepard,FA,,0.0,28.9,295.8,2.04,0.0,0.0,0.0,,56.27,70.72,41.82,0.25,0.04,0.0,0.0
